Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2026-05-12 03:00:00,81249.93,81294.42,81024.41,81058.8,187.87319,2026-05-12 03:59:59.999,15248041.3497108,60524.0,83.9267,6811571.3952978,0.0
2026-05-12 04:00:00,81058.79,81303.99,81000.0,81240.01,398.28206,2026-05-12 04:59:59.999,32329942.9890934,57096.0,216.44555,17572554.3526147,0.0
2026-05-12 05:00:00,81240.01,81305.24,81181.56,81224.03,329.93857,2026-05-12 05:59:59.999,26808069.4674166,54329.0,122.72438,9972184.7467503,0.0
2026-05-12 06:00:00,81224.04,81300.0,81010.01,81022.44,448.36294,2026-05-12 06:59:59.999,36392772.1674836,63088.0,177.76663,14431197.3528589,0.0
2026-05-12 07:00:00,81022.44,81137.27,80800.77,80865.4,603.31882,2026-05-12 07:59:59.999,48850496.9499929,94155.0,311.65295,25235476.2021838,0.0
2026-05-12 08:00:00,80865.4,80964.13,80760.53,80843.31,478.61372,2026-05-12 08:59:59.999,38709434.5877854,71518.0,284.26296,22991421.7256,0.0
2026-05-12 09:00:00,80843.3,80963.35,80720.0,80837.15,506.71585,2026-05-12 09:59:59.999,40964908.7516419,75137.0,296.60545,23981460.010573,0.0
2026-05-12 10:00:00,80837.15,80848.27,80601.27,80666.37,487.71377,2026-05-12 10:59:59.999,39370519.0344323,71502.0,232.10931,18738023.6749545,0.0
2026-05-12 11:00:00,80666.38,80785.38,80496.57,80784.87,500.02112,2026-05-12 11:59:59.999,40317804.1344314,76762.0,270.91562,21848346.2947369,0.0
2026-05-12 12:00:00,80784.86,80999.0,80619.19,80881.26,585.87948,2026-05-12 12:59:59.999,47353845.2866338,130158.0,316.47156,25579664.3354719,0.0
2026-05-12 13:00:00,80881.25,80928.26,80397.07,80466.91,795.94705,2026-05-12 13:59:59.999,64237911.8122357,174593.0,356.30691,28760568.6376434,0.0
2026-05-12 14:00:00,80466.91,80888.01,80397.88,80540.0,865.59094,2026-05-12 14:59:59.999,69783490.2307086,215218.0,450.10736,36291308.7295879,0.0
2026-05-12 15:00:00,80540.0,80676.78,80188.65,80336.01,958.32005,2026-05-12 15:59:59.999,77034621.1365757,190809.0,340.77844,27399924.6577859,0.0
2026-05-12 16:00:00,80336.01,80435.99,79843.59,80000.01,1473.4545,2026-05-12 16:59:59.999,118151504.7711914,170555.0,450.73529,36142564.3611915,0.0
2026-05-12 17:00:00,80000.01,80593.06,79951.05,80527.69,486.64257,2026-05-12 17:59:59.999,39093638.2185861,122455.0,292.17523,23466930.4643274,0.0
2026-05-12 18:00:00,80527.69,80763.81,80430.0,80679.12,367.3581,2026-05-12 18:59:59.999,29601094.3825639,89346.0,183.69261,14802531.5755863,0.0
2026-05-12 19:00:00,80679.11,80874.42,80679.11,80834.64,346.22158,2026-05-12 19:59:59.999,27967842.0292384,71477.0,167.84197,13558721.9307813,0.0
2026-05-12 20:00:00,80835.3,80896.25,80642.85,80696.87,292.49967,2026-05-12 20:59:59.999,23632767.922002,60010.0,161.48753,13050279.1291826,0.0
2026-05-12 21:00:00,80696.87,80738.0,80497.0,80587.44,202.53849,2026-05-12 21:59:59.999,16328208.4181601,56092.0,103.97119,8381793.9924019,0.0
2026-05-12 22:00:00,80587.45,80791.94,80587.45,80656.43,151.10909,2026-05-12 22:59:59.999,12191877.7538317,58382.0,68.03065,5488485.0410069,0.0
2026-05-12 23:00:00,80656.44,80714.0,80439.91,80504.47,247.40723,2026-05-12 23:59:59.999,19935179.4463583,54410.0,90.16202,7265150.8988809,0.0
2026-05-13 00:00:00,80504.47,80768.95,80412.15,80718.0,230.81443,2026-05-13 00:59:59.999,18606486.0787889,91105.0,117.30563,9457393.6330895,0.0
2026-05-13 01:00:00,80718.0,81195.69,80683.12,81006.0,633.76198,2026-05-13 01:59:59.999,51363104.9215102,121813.0,366.14063,29668968.4948346,0.0
2026-05-13 02:00:00,81005.99,81281.66,80934.69,81050.0,333.93602,2026-05-13 02:59:59.999,27073363.9935471,69413.0,152.40773,12357481.5179,0.0
2026-05-13 03:00:00,81050.0,81299.99,80976.27,81249.99,377.40594,2026-05-13 03:59:59.999,30613275.6789892,51901.0,230.85099,18724373.9876267,0.0
2026-05-13 04:00:00,81249.99,81281.07,81124.87,81231.96,253.70329,2026-05-13 04:59:59.999,20602047.1102783,48875.0,141.02626,11452737.2162562,0.0
2026-05-13 05:00:00,81231.96,81247.22,80999.99,81019.99,266.87053,2026-05-13 05:59:59.999,21644839.4734514,42837.0,90.22959,7318863.5401967,0.0
2026-05-13 06:00:00,81020.0,81160.36,80972.94,80980.05,499.1653,2026-05-13 06:59:59.999,40461583.0991523,54498.0,175.15169,14199285.1063131,0.0
2026-05-13 07:00:00,80980.06,81049.01,80889.12,81026.92,476.02435,2026-05-13 07:59:59.999,38536754.0801906,52484.0,226.17505,18312551.6699827,0.0
2026-05-13 08:00:00,81026.92,81200.0,80943.63,81196.57,372.92514,2026-05-13 08:59:59.999,30238042.9781081,68614.0,212.84302,17258055.4857973,0.0
2026-05-13 09:00:00,81196.57,81324.64,81137.77,81291.38,435.50222,2026-05-13 09:59:59.999,35384048.8549718,64102.0,216.45964,17587852.9843169,0.0
2026-05-13 10:00:00,81291.37,81298.5,80809.01,80809.01,364.76288,2026-05-13 10:59:59.999,29553001.6048504,71918.0,152.29299,12335280.9775136,0.0
2026-05-13 11:00:00,80809.01,80843.87,80494.98,80501.22,668.09274,2026-05-13 11:59:59.999,53867443.4956381,101546.0,301.40355,24302140.7539968,0.0
2026-05-13 12:00:00,80501.22,80592.65,79852.0,80202.78,1194.36751,2026-05-13 12:59:59.999,95781621.7030989,196730.0,556.80148,44656397.1586366,0.0
2026-05-13 13:00:00,80202.78,80345.45,79576.47,79656.01,1205.27854,2026-05-13 13:59:59.999,96298956.6206803,214865.0,570.37969,45578644.5151687,0.0
2026-05-13 14:00:00,79656.01,79898.0,79481.56,79756.01,942.38578,2026-05-13 14:59:59.999,75108253.8739865,172164.0,449.47225,35832881.6362745,0.0
2026-05-13 15:00:00,79756.02,79856.08,78807.22,78827.21,1731.43058,2026-05-13 15:59:59.999,137204913.078348,220114.0,658.77297,52221171.4474261,0.0
2026-05-13 16:00:00,78827.21,79222.22,78754.65,79108.39,1522.11383,2026-05-13 16:59:59.999,120176827.8177289,181918.0,681.84664,53844554.0947387,0.0
2026-05-13 17:00:00,79108.39,79556.36,79100.0,79514.97,611.40519,2026-05-13 17:59:59.999,48490117.927458,92102.0,326.2825,25875651.610649,0.0
2026-05-13 18:00:00,79514.97,79800.0,79514.97,79598.15,747.58594,2026-05-13 18:59:59.999,59574410.7972167,103014.0,453.40822,36134070.4981778,0.0
2026-05-13 19:00:00,79598.15,79646.29,79400.0,79642.41,463.49581,2026-05-13 19:59:59.999,36860911.5275944,78120.0,261.75375,20818894.8056501,0.0
2026-05-13 20:00:00,79642.41,79760.0,79622.7,79698.95,225.22286,2026-05-13 20:59:59.999,17946408.1773808,49988.0,147.33768,11740073.1966629,0.0
2026-05-13 21:00:00,79698.95,79705.73,79340.39,79398.54,418.00056,2026-05-13 21:59:59.999,33219202.3430505,67406.0,222.81955,17707559.5910195,0.0
2026-05-13 22:00:00,79398.54,79470.0,79228.0,79428.46,338.28664,2026-05-13 22:59:59.999,26845331.788562,71621.0,183.22455,14540676.2228762,0.0
2026-05-13 23:00:00,79428.46,79499.01,79233.83,79313.61,497.51837,2026-05-13 23:59:59.999,39478895.8442422,63422.0,267.25577,21204436.6890908,0.0
2026-05-14 00:00:00,79313.61,79681.73,79308.0,79580.0,443.66772,2026-05-14 00:59:59.999,35278540.1395545,80912.0,308.86743,24558123.8638328,0.0
2026-05-14 01:00:00,79580.0,79681.73,79409.42,79604.6,369.48629,2026-05-14 01:59:59.999,29403676.3458954,78900.0,205.05917,16318599.6295761,0.0
2026-05-14 02:00:00,79604.61,79676.11,79222.22,79370.24,684.03959,2026-05-14 02:59:59.999,54437936.6490468,84024.0,301.00902,23957064.5935722,0.0
2026-05-14 03:00:00,79370.24,79460.0,78922.0,79044.85,712.36112,2026-05-14 03:59:59.999,56419945.6467915,153490.0,310.16831,24574333.3456604,0.0
2026-05-14 04:00:00,79044.86,79474.41,78982.06,79451.63,437.35487,2026-05-14 04:59:59.999,34678525.5034308,74853.0,288.30964,22862608.2297688,0.0
2026-05-14 05:00:00,79451.62,79998.0,79359.49,79809.16,850.16622,2026-05-14 05:59:59.999,67714774.1526329,103063.0,458.09043,36496834.4944338,0.0
2026-05-14 06:00:00,79809.15,79953.35,79769.12,79804.71,301.13354,2026-05-14 06:59:59.999,24047929.7152209,63253.0,139.96864,11178614.2136617,0.0
2026-05-14 07:00:00,79804.72,79937.59,79702.05,79745.98,480.32483,2026-05-14 07:59:59.999,38349620.3578426,67783.0,221.98095,17726166.9486009,0.0
2026-05-14 08:00:00,79745.99,79936.98,79644.44,79821.56,652.77033,2026-05-14 08:59:59.999,52099204.8884906,84347.0,354.31996,28280644.3233393,0.0
2026-05-14 09:00:00,79821.55,79905.99,79569.81,79635.52,445.75367,2026-05-14 09:59:59.999,35535609.5007779,62776.0,197.11447,15715209.4251961,0.0
2026-05-14 10:00:00,79635.53,79756.98,79409.42,79570.01,384.95969,2026-05-14 10:59:59.999,30645095.9161374,73315.0,182.66127,14542942.3799984,0.0
2026-05-14 11:00:00,79570.01,79600.0,79234.0,79258.27,362.97846,2026-05-14 11:59:59.999,28814110.0706889,68466.0,162.93794,12933488.5766332,0.0
2026-05-14 12:00:00,79258.27,79775.02,79230.31,79767.11,526.41242,2026-05-14 12:59:59.999,41855480.8717399,89322.0,330.25699,26259805.6616382,0.0
2026-05-14 13:00:00,79767.1,80059.71,79670.88,79701.73,1000.54213,2026-05-14 13:59:59.999,79926514.0809476,205407.0,522.53807,41747296.4705554,0.0
2026-05-14 14:00:00,79701.73,81020.0,79561.52,80964.85,1882.78042,2026-05-14 14:59:59.999,151434781.95098,307144.0,1058.12283,85070029.1025316,0.0
2026-05-14 15:00:00,80964.84,81332.23,80816.08,81301.23,2292.36231,2026-05-14 15:59:59.999,185816971.1588832,266567.0,1356.32872,109973609.4546063,0.0
2026-05-14 16:00:00,81301.22,81904.44,81080.25,81888.4,2732.81932,2026-05-14 16:59:59.999,222638527.8465234,351316.0,1740.19287,141794163.6607944,0.0
2026-05-14 17:00:00,81888.4,82048.13,81271.0,81668.48,1967.47911,2026-05-14 17:59:59.999,160760567.5346829,295375.0,1097.22886,89701149.1441162,0.0
2026-05-14 18:00:00,81668.49,81949.15,81440.38,81581.99,1012.7972,2026-05-14 18:59:59.999,82758482.4253424,163151.0,568.52333,46465979.4433809,0.0
2026-05-14 19:00:00,81582.0,81718.73,81330.12,81419.74,566.84044,2026-05-14 19:59:59.999,46191505.049581,137675.0,286.00897,23307091.6837749,0.0
2026-05-14 20:00:00,81419.75,81590.19,81166.22,81412.04,471.62836,2026-05-14 20:59:59.999,38371322.5030413,104948.0,259.67907,21132304.6781167,0.0
2026-05-14 21:00:00,81412.05,81526.08,81268.38,81396.61,292.07185,2026-05-14 21:59:59.999,23777295.9205538,68678.0,150.92421,12286370.594984,0.0
2026-05-14 22:00:00,81396.61,81559.71,81335.48,81456.0,322.84736,2026-05-14 22:59:59.999,26301613.7747878,55802.0,114.97412,9365040.0628054,0.0
2026-05-14 23:00:00,81456.0,81456.0,81059.93,81089.99,534.29082,2026-05-14 23:59:59.999,43398443.0152235,60479.0,134.94248,10957989.8531166,0.0
2026-05-15 00:00:00,81090.0,81664.45,81068.52,81518.67,578.5498,2026-05-15 00:59:59.999,47115389.1311064,134018.0,307.53591,25041511.7421517,0.0
2026-05-15 01:00:00,81518.66,81612.73,81106.2,81131.01,538.82284,2026-05-15 01:59:59.999,43884485.1246693,149647.0,273.66942,22293404.7816851,0.0
2026-05-15 02:00:00,81131.0,81350.0,80750.0,81299.14,829.4016,2026-05-15 02:59:59.999,67209227.2763639,181523.0,470.67179,38152205.2614503,0.0
2026-05-15 03:00:00,81299.14,81340.81,80930.82,81059.15,506.95135,2026-05-15 03:59:59.999,41122151.7438253,108329.0,229.07498,18588088.8805844,0.0
2026-05-15 04:00:00,81059.15,81100.0,80709.09,80724.71,367.57246,2026-05-15 04:59:59.999,29752838.1892509,80398.0,109.34756,8850253.1172773,0.0
2026-05-15 05:00:00,80724.71,80882.45,80314.0,80360.01,1029.21412,2026-05-15 05:59:59.999,82885459.9880031,165592.0,434.4465,34985494.0830424,0.0
2026-05-15 06:00:00,80360.01,80644.5,80314.01,80580.0,815.53271,2026-05-15 06:59:59.999,65637509.1714884,112700.0,423.67993,34108052.7144483,0.0
2026-05-15 07:00:00,80580.0,81003.37,80559.88,80814.88,878.78211,2026-05-15 07:59:59.999,71005396.835097,107092.0,567.19828,45825645.5789247,0.0
2026-05-15 08:00:00,80814.88,80822.95,80415.84,80638.0,538.63644,2026-05-15 08:59:59.999,43432901.0063637,101514.0,279.25397,22521292.4130053,0.0
2026-05-15 09:00:00,80638.0,80670.51,80369.0,80489.8,471.66166,2026-05-15 09:59:59.999,37968205.0864108,85279.0,221.7574,17854190.8632189,0.0
2026-05-15 10:00:00,80489.81,80776.33,80407.6,80716.23,444.96934,2026-05-15 10:59:59.999,35855602.6139303,87809.0,256.37664,20655589.0176003,0.0
2026-05-15 11:00:00,80716.22,80750.56,80590.08,80628.53,250.99223,2026-05-15 11:59:59.999,20242200.1410531,58288.0,120.79326,9741449.033374,0.0
2026-05-15 12:00:00,80628.52,80635.44,80340.83,80385.11,535.00082,2026-05-15 12:59:59.999,43054726.5465231,93043.0,278.72922,22430282.7840125,0.0
2026-05-15 13:00:00,80385.1,80385.11,78698.69,78758.59,3101.88518,2026-05-15 13:59:59.999,246415084.7994464,455882.0,1467.66914,116635572.3372949,0.0
2026-05-15 14:00:00,78758.59,79353.32,78659.0,79150.37,1965.21031,2026-05-15 14:59:59.999,155356231.3724261,384645.0,866.88211,68547766.3042544,0.0
2026-05-15 15:00:00,79150.36,79369.36,79013.81,79150.27,606.4731,2026-05-15 15:59:59.999,48024718.948651,179829.0,275.78657,21840147.9151793,0.0
2026-05-15 16:00:00,79150.26,79382.3,79131.01,79294.31,514.78679,2026-05-15 16:59:59.999,40791705.4313792,135622.0,219.36441,17382763.7356445,0.0
2026-05-15 17:00:00,79294.31,79504.83,79224.0,79460.0,478.80422,2026-05-15 17:59:59.999,38002781.4793883,106352.0,204.16642,16205016.3384069,0.0
2026-05-15 18:00:00,79460.0,79561.94,79170.47,79284.0,544.01093,2026-05-15 18:59:59.999,43159787.2386719,126000.0,185.31158,14701059.8858126,0.0
2026-05-15 19:00:00,79284.01,79290.0,79051.0,79146.5,421.75884,2026-05-15 19:59:59.999,33377816.3129792,103925.0,165.11343,13067095.3282043,0.0
2026-05-15 20:00:00,79146.5,79217.07,79000.0,79123.12,224.44355,2026-05-15 20:59:59.999,17758327.6420603,66660.0,85.017,6726784.3791046,0.0
2026-05-15 21:00:00,79123.13,79200.0,78911.42,78973.5,682.32127,2026-05-15 21:59:59.999,53983152.8803235,71661.0,347.44044,27490866.6487091,0.0
2026-05-15 22:00:00,78973.5,79145.44,78973.49,79107.38,347.86808,2026-05-15 22:59:59.999,27507980.6407504,46035.0,178.7555,14134932.8900606,0.0
2026-05-15 23:00:00,79107.38,79161.86,79077.96,79113.21,677.62104,2026-05-15 23:59:59.999,53608994.7687066,42271.0,365.13699,28886567.8825495,0.0
2026-05-16 00:00:00,79113.2,79227.77,79075.09,79111.92,314.0124,2026-05-16 00:59:59.999,24859118.0651999,40385.0,161.21693,12762625.404272,0.0
2026-05-16 01:00:00,79111.92,79186.05,79010.0,79168.0,357.20294,2026-05-16 01:59:59.999,28255996.4500658,53095.0,176.51261,13963898.2508062,0.0
2026-05-16 02:00:00,79168.0,79211.77,79080.1,79155.54,208.30505,2026-05-16 02:59:59.999,16486370.5460379,45575.0,98.92205,7829455.8419762,0.0
2026-05-16 03:00:00,79155.55,79187.71,79059.77,79083.18,368.66241,2026-05-16 03:59:59.999,29180664.8168698,33837.0,172.6864,13668503.6621372,0.0
2026-05-16 04:00:00,79083.19,79129.71,78860.0,79035.26,321.76822,2026-05-16 04:59:59.999,25426625.1386811,54989.0,131.83967,10420369.0275136,0.0
2026-05-16 05:00:00,79035.25,79039.49,78933.63,79027.37,183.05543,2026-05-16 05:59:59.999,14462418.9512317,37192.0,96.68237,7638233.8458715,0.0
2026-05-16 06:00:00,79027.36,79047.94,78459.87,78648.0,632.26156,2026-05-16 06:59:59.999,49776098.8992497,96343.0,217.69857,17141832.8554081,0.0
2026-05-16 07:00:00,78648.0,78651.63,78066.0,78369.77,1267.74437,2026-05-16 07:59:59.999,99339534.9962254,179779.0,592.63271,46448788.8150093,0.0
2026-05-16 08:00:00,78369.78,78530.52,78334.21,78426.56,379.04319,2026-05-16 08:59:59.999,29727192.57455,59519.0,208.15603,16325325.7043067,0.0
2026-05-16 09:00:00,78426.55,78440.81,77906.1,78083.48,1104.4311,2026-05-16 09:59:59.999,86256129.2924353,166456.0,420.34905,32830404.0370506,0.0
2026-05-16 10:00:00,78083.47,78101.43,77640.0,77960.0,1759.70594,2026-05-16 10:59:59.999,137039456.3498661,178080.0,584.92361,45549245.497397,0.0
2026-05-16 11:00:00,77959.99,78193.88,77959.99,78081.71,602.9198,2026-05-16 11:59:59.999,47085567.6465381,61191.0,291.30287,22752187.4008867,0.0
2026-05-16 12:00:00,78080.46,78133.38,77918.62,78007.23,791.53177,2026-05-16 12:59:59.999,61774657.241827,62131.0,460.43254,35933759.8437719,0.0
2026-05-16 13:00:00,78007.24,78014.6,77833.4,78014.6,830.86287,2026-05-16 13:59:59.999,64749332.5101838,67260.0,509.26978,39687979.2058134,0.0
2026-05-16 14:00:00,78014.6,78346.0,77895.2,78130.55,729.04785,2026-05-16 14:59:59.999,56907723.6158008,88253.0,453.325,35382383.5248881,0.0
2026-05-16 15:00:00,78130.55,78285.0,78078.22,78238.67,332.91477,2026-05-16 15:59:59.999,26026836.2998008,59644.0,182.57287,14273685.4318706,0.0
2026-05-16 16:00:00,78238.68,78364.65,78119.72,78205.96,328.10255,2026-05-16 16:59:59.999,25669848.2305783,66610.0,164.75854,12891883.9981407,0.0
2026-05-16 17:00:00,78205.96,78320.41,78199.0,78201.5,350.20669,2026-05-16 17:59:59.999,27411424.1699479,43734.0,165.01435,12916677.511658,0.0
2026-05-16 18:00:00,78201.5,78327.75,78142.99,78229.81,310.63405,2026-05-16 18:59:59.999,24296351.0766688,39812.0,124.66861,9752240.9022254,0.0
2026-05-16 19:00:00,78229.82,78314.69,78204.22,78259.66,271.10252,2026-05-16 19:59:59.999,21220623.1417996,32869.0,208.78715,16343315.769902,0.0
2026-05-16 20:00:00,78259.67,78318.94,78201.42,78261.0,194.3429,2026-05-16 20:59:59.999,15210842.1021951,30038.0,105.80844,8281563.1919868,0.0
2026-05-16 21:00:00,78261.0,78308.33,78206.85,78265.73,237.27188,2026-05-16 21:59:59.999,18570616.5924626,32471.0,146.28791,11449939.8194136,0.0
2026-05-16 22:00:00,78265.73,78279.28,78171.02,78186.25,128.79242,2026-05-16 22:59:59.999,10074259.8219831,33453.0,55.50916,4342067.331254,0.0
2026-05-16 23:00:00,78186.25,78267.46,78125.32,78148.05,128.93924,2026-05-16 23:59:59.999,10082968.1286524,34945.0,46.95416,3671822.5617885,0.0
2026-05-17 00:00:00,78148.05,78243.19,77812.0,77945.85,311.59646,2026-05-17 00:59:59.999,24321558.3152455,60228.0,86.68868,6769328.7898213,0.0
2026-05-17 01:00:00,77945.85,78114.0,77721.19,77725.71,516.53667,2026-05-17 01:59:59.999,40235542.0633642,104058.0,198.219,15441295.2751936,0.0
2026-05-17 02:00:00,77725.72,77938.0,77725.71,77895.51,256.64293,2026-05-17 02:59:59.999,19984815.5756637,56785.0,150.4138,11711736.4766628,0.0
2026-05-17 03:00:00,77895.5,78079.3,77888.0,78028.88,200.15322,2026-05-17 03:59:59.999,15611466.4268215,38416.0,103.0662,8038870.8078295,0.0
2026-05-17 04:00:00,78028.88,78203.93,78003.35,78158.09,375.99093,2026-05-17 04:59:59.999,29377929.4922603,40924.0,219.59695,17157906.2343383,0.0
2026-05-17 05:00:00,78158.08,78323.96,78102.42,78121.41,258.98839,2026-05-17 05:59:59.999,20250830.3015424,35295.0,126.91898,9925663.3231053,0.0
2026-05-17 06:00:00,78121.41,78204.01,78017.0,78104.8,136.86954,2026-05-17 06:59:59.999,10690320.4047192,30420.0,62.43902,4877140.5273237,0.0
2026-05-17 07:00:00,78104.79,78208.69,78053.79,78180.01,180.24659,2026-05-17 07:59:59.999,14083802.606048,33257.0,95.26164,7443690.747412,0.0
2026-05-17 08:00:00,78180.0,78200.91,78033.01,78089.8,117.37418,2026-05-17 08:59:59.999,9167507.3184355,30308.0,46.91302,3663982.2709239,0.0
2026-05-17 09:00:00,78089.8,78293.97,78073.52,78249.33,196.43485,2026-05-17 09:59:59.999,15350723.6525897,33341.0,109.98337,8595502.9087421,0.0
2026-05-17 10:00:00,78249.33,78599.99,78249.03,78465.99,564.92985,2026-05-17 10:59:59.999,44316620.9476285,89164.0,328.99301,25805948.0895642,0.0
2026-05-17 11:00:00,78465.99,78473.82,78289.0,78415.99,257.4445,2026-05-17 11:59:59.999,20181943.0113538,56126.0,109.91821,8616100.4530779,0.0
2026-05-17 12:00:00,78415.99,78550.0,78333.8,78364.83,254.43689,2026-05-17 12:59:59.999,19956514.212671,48851.0,124.40752,9758239.0132793,0.0
2026-05-17 13:00:00,78364.83,78364.83,78173.15,78202.91,260.27625,2026-05-17 13:59:59.999,20369850.8752517,52075.0,68.48755,5359817.627231,0.0
2026-05-17 14:00:00,78202.91,78217.33,77850.0,78051.51,397.56893,2026-05-17 14:59:59.999,31022076.6499171,87291.0,140.53134,10964774.4879091,0.0
2026-05-17 15:00:00,78051.51,78119.42,77920.76,78051.41,203.63392,2026-05-17 15:59:59.999,15890313.2377839,53234.0,94.65518,7386459.8364567,0.0
2026-05-17 16:00:00,78051.42,78193.66,78025.23,78034.36,142.87987,2026-05-17 16:59:59.999,11159950.6967552,43198.0,71.71267,5601363.2692153,0.0
2026-05-17 17:00:00,78034.37,78092.44,77856.69,78089.98,296.4389,2026-05-17 17:59:59.999,23114462.3220228,65457.0,164.77445,12849445.8368191,0.0
2026-05-17 18:00:00,78089.99,78271.59,78014.33,78268.05,172.43416,2026-05-17 18:59:59.999,13477316.9331785,53543.0,87.02962,6803676.6765022,0.0
2026-05-17 19:00:00,78268.04,78468.46,78209.96,78415.3,225.32283,2026-05-17 19:59:59.999,17646961.5876119,50245.0,127.98812,10024592.4151587,0.0
2026-05-17 20:00:00,78415.29,78435.32,78248.8,78277.36,205.39109,2026-05-17 20:59:59.999,16083638.9996239,39153.0,94.80878,7423967.0359181,0.0
2026-05-17 21:00:00,78277.36,78485.36,78243.5,78405.72,293.90051,2026-05-17 21:59:59.999,23036658.9477714,42847.0,163.17311,12790426.6611887,0.0
2026-05-17 22:00:00,78405.72,78414.16,77830.0,77997.24,585.78673,2026-05-17 22:59:59.999,45721027.0233793,137547.0,209.96609,16389074.9883909,0.0
2026-05-17 23:00:00,77997.24,78008.18,76735.16,77457.67,2031.42401,2026-05-17 23:59:59.999,157009650.043213,288670.0,911.92139,70459883.1566573,0.0
2026-05-18 00:00:00,77457.67,77477.99,76916.6,77209.95,1062.83033,2026-05-18 00:59:59.999,81984258.9321795,265358.0,475.20276,36657424.4183217,0.0
2026-05-18 01:00:00,77209.95,77291.54,76744.95,77109.22,771.47833,2026-05-18 01:59:59.999,59378288.4337542,213677.0,412.04721,31717082.0991443,0.0
2026-05-18 02:00:00,77109.21,77222.03,76707.61,76835.41,544.67309,2026-05-18 02:59:59.999,41930139.7189693,110571.0,293.61678,22602236.1052859,0.0
2026-05-18 03:00:00,76835.41,77030.42,76817.14,76924.65,509.0298,2026-05-18 03:59:59.999,39158676.1676958,92865.0,278.52922,21426402.395899,0.0
2026-05-18 04:00:00,76924.66,77069.77,76772.01,77038.49,354.48166,2026-05-18 04:59:59.999,27275549.4044702,72035.0,191.37122,14727070.2167128,0.0
2026-05-18 05:00:00,77038.49,77080.93,76884.33,76931.4,586.83852,2026-05-18 05:59:59.999,45173542.2494691,79600.0,324.11647,24948432.5401869,0.0
